Job Title,Company Name,Salary,Location,Job Description,Skills,job_link
Inside Sales Representative,Pearson,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",We are seeking a highly motivated Inside Sales Support Representative to join our tea...,"Outbound, Administration, Lead generation, Networking, MS Office, Order processing, Sales Support Representative, Sales support",https://www.naukri.com/job-listings-inside-sales-representative-pearson-india-education-services-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-3-years-270424500848
Inside Sales Representative,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","You must be comfortable making dozens of calls per day, working with channel partners, ...","Customer acquisition, Outbound, Social media, network services, Sales Executive, Inside sales, Inside Sales Representative, Operations",https://www.naukri.com/job-listings-inside-sales-representative-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-4-years-290424500027
Manager Indirect Taxation,Abbott,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Minimum Education Minimum Experience / Training Required . Minimum 5 years of experienc...,"SAP, Manager Indirect Taxation, Litigation management, Appeals, Litigation matters, Business advisory, Taxation, Indirect taxation",https://www.naukri.com/job-listings-manager-indirect-taxation-abbott-healthcare-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-8-years-270424500955
Repair Technician,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Vocation training / qualifications required,"Training, Technical Administrator, Standard operating procedures, Packaging, Manufacturing operations, Machinery, Operations, Monitoring",https://www.naukri.com/job-listings-repair-technician-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-3-years-270424500935
Personalized Internet Assessor India - Kannada Language,TELUS International,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Requirements . Proficiency in both written and verbal English & Kannada Experience in n...,"BPO, Manager Quality Assurance, Social media, Machine learning, Agile, HTTP, Customer service, Consumer electronics",https://www.naukri.com/job-listings-personalized-internet-assessor-india-kannada-language-telus-international-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-1-years-270424500915
Personalized Internet Assessor India - Gujarati Language,TELUS International,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Requirements . Proficiency in both written and verbal English & Gujarati Experience in ...,"BPO, Manager Quality Assurance, Social media, Machine learning, Agile, HTTP, Customer service, Consumer electronics",https://www.naukri.com/job-listings-personalized-internet-assessor-india-language-telus-international-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-1-years-270424500914
Test Lead,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Bachelor s degree in Electronics, Computer Science, Computer Engineering or a software ...","TCP, Computer science, VMware, Linux, Test strategy, Bloomberg, SCTP, Signalling",https://www.naukri.com/job-listings-test-lead-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-10-to-12-years-270424500637
Engineering Manager,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Bachelor s degree in Electronics, Computer Science, Computer Engineering or a software ...","TCP, Computer science, VMware, Linux, Agile, Telecommunication, JSON, JIRA",https://www.naukri.com/job-listings-engineering-manager-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-10-to-12-years-270424500622
Senior IP Solution Architect,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Contribute to and support the Architecture, Technical Scope of Work (SOW) and Solutio...","Unix, Telecom, VMware, Linux, Project management, Presales, Perl, Technical support",https://www.naukri.com/job-listings-senior-ip-solution-architect-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-12-to-13-years-270424500601
Software Quality Manager,Ford,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Bachelor s or Master s degree in computer science, computer engineering or equivalent c...","Computer science, Manager Quality Assurance, Testing tools, TDD, Agile, test driven development, Selenium, software quality",https://www.naukri.com/job-listings-software-quality-manager-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-7-years-270424500266
